pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist
K00792.01,K00792.01,1.433769925,46.58,,1920.0,6017.0,1.339,
K00793.01,K00793.01,10.31872301,28.59,,876.0,5927.0,1.06,
Kepler-683 b,K00794.01,2.539183147,2.06,,1332.0,5519.0,1.062,
Kepler-684 b,K00795.01,6.770300385,2.77,,812.0,5653.0,0.679,
K00796.01,K00796.01,0.444291966,27.51,,1836.0,5255.0,0.636,
K00797.01,K00797.01,10.181584004,7.73,,812.0,5988.0,0.836,
Kepler-235 d,K00812.02,20.06036336,1.96,,361.0,3950.0,0.493,
Kepler-235 e,K00812.03,46.1842039,1.83,,273.0,3950.0,0.493,
Kepler-106 d,K00116.04,23.9800854,1.31,,649.0,5854.0,1.012,
Kepler-235 c,K00812.04,7.82502168,1.2,,494.0,3950.0,0.493,
Kepler-688 b,K00813.01,3.895936525,7.34,,1005.0,5557.0,0.774,
Kepler-689 b,K00814.01,22.36646466,2.32,,536.0,5395.0,0.734,
Kepler-685 b,K00801.01,1.625522174,9.73,,1579.0,5539.0,1.106,
K00802.01,K00802.01,19.620346923,13.6,,643.0,5710.0,0.905,
K00803.01,K00803.01,7.544039,17.47,,838.0,5657.0,0.824,
Kepler-1727 b,K00804.01,9.02930689,2.57,,757.0,5349.0,0.82,
K00805.01,K00805.01,10.328035714,13.28,,843.0,5627.0,1.024,
Kepler-30 d,K00806.01,143.2063047,8.9,,308.0,5485.0,0.867,
Kepler-106 b,K00116.03,6.164876,0.79,,1021.0,5854.0,1.012,
Kepler-30 c,K00806.02,60.32494216,12.19,,411.0,5485.0,0.867,
Kepler-30 b,K00806.03,29.1598615,1.91,,524.0,5485.0,0.867,
K00807.01,K00807.01,1.540397253,25.69,,1470.0,5663.0,0.915,
K00808.01,K00808.01,2.99025443,1.7,,918.0,4667.0,0.731,
Kepler-686 b,K00809.01,1.594745374,11.3,,1539.0,5934.0,0.893,
Kepler-1728 b,K00810.01,4.783002698,2.5,,886.0,5170.0,0.807,
Kepler-687 b,K00811.01,20.50588921,3.41,,518.0,4905.0,0.761,
Kepler-235 b,K00812.01,3.340218842,2.03,,656.0,3950.0,0.493,
K00828.01,K00828.01,2.507089906,30.26,,1326.0,5926.0,0.939,
Kepler-53 b,K00829.01,18.64932728,3.12,,701.0,5775.0,1.053,
Kepler-107 c,K00117.02,4.90144976,1.7,,1262.0,5847.0,1.402,
Kepler-53 d,K00829.02,9.75192101,2.76,,870.0,5775.0,1.053,
Kepler-53 c,K00829.03,38.5576546,4.02,,550.0,5775.0,1.053,
Kepler-428 b,K00830.01,3.525632539,11.58,,975.0,5150.0,0.793,
K00815.01,K00815.01,34.84398644,7.61,,511.0,5509.0,0.871,
Kepler-690 b,K00816.01,7.748094239,5.52,,964.0,5973.0,1.085,
Kepler-236 c,K00817.01,23.96793669,1.8,,329.0,3747.0,0.524,
Kepler-236 b,K00817.02,8.29561738,1.82,,469.0,3747.0,0.524,
Kepler-691 b,K00818.01,8.11437482,2.1,,460.0,3692.0,0.517,
K00819.01,K00819.01,38.036729482,27.5,,500.0,5575.0,0.932,
K00820.01,K00820.01,4.64090031,30.09,,1155.0,6463.0,0.826,
K00011.01,K00011.01,3.747838198,13.65,,1031.0,5514.0,0.826,
Kepler-107 e,K00117.01,14.74914825,2.89,,874.0,5847.0,1.402,
Kepler-692 b,K00821.01,21.81295996,3.38,,639.0,5601.0,0.999,
K00822.01,K00822.01,7.91936937,10.34,,814.0,5690.0,0.776,
K00823.01,K00823.01,1.028436523,72.77,,1947.0,6228.0,0.99,
Kepler-693 b,K00824.01,15.37562369,11.01,,600.0,4986.0,0.833,
Kepler-237 c,K00825.01,8.10363271,2.11,,687.0,4861.0,0.732,
Kepler-237 b,K00825.02,4.71510843,1.46,,823.0,4861.0,0.732,
Kepler-694 b,K00826.01,6.365839713,2.44,,914.0,5776.0,0.849,
K00827.01,K00827.01,5.97581754,3.86,,1047.0,6108.0,0.997,
K00839.01,K00839.01,2.446737317,26.25,,1261.0,5764.0,0.863,
Kepler-695 b,K00840.01,3.04033046,8.99,,1021.0,5035.0,0.791,
Kepler-27 b,K00841.01,15.33528675,5.0,,610.0,5251.0,0.817,
Kepler-107 d,K00117.04,7.95825328,1.06,,1074.0,5847.0,1.402,
Kepler-27 c,K00841.02,31.33046135,6.5,,481.0,5251.0,0.817,
K00831.01,K00831.01,3.9043425,12.28,,1104.0,5810.0,0.898,
K00832.01,K00832.01,9.286358079,17.61,,796.0,5670.0,0.821,
K00833.01,K00833.01,3.951405455,31.44,,1133.0,6046.0,0.869,
Kepler-238 e,K00834.01,23.65369415,7.89,,731.0,5739.0,1.384,
Kepler-238 d,K00834.02,13.23352214,3.06,,888.0,5739.0,1.384,
Kepler-238 c,K00834.03,6.15560285,2.32,,1146.0,5739.0,1.384,
Kepler-238 b,K00834.04,2.090811305,1.62,,1642.0,5739.0,1.384,
Kepler-107 b,K00117.03,3.180027898,1.53,,1458.0,5847.0,1.402,
Kepler-238 f,K00834.05,50.4467417,2.67,,568.0,5739.0,1.384,
Kepler-239 b,K00835.01,11.76307164,2.35,,616.0,4959.0,0.756,
Kepler-239 c,K00835.02,56.2279271,2.37,,366.0,4959.0,0.756,
K00836.01,K00836.01,2.384052875,17.06,,1010.0,4794.0,0.701,
Kepler-240 c,K00837.01,7.953547,2.25,,696.0,4768.0,0.779,
