pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
Kepler-674 b,K00778.01,2.243380573,1.99,,822.0,285.17621,50.149818,4149.0,0.564,,,,
K00779.01,K00779.01,10.405998015,11.23,,833.0,289.23553,50.241001,5746.0,0.924,,,,
Kepler-675 b,K00780.01,2.337437946,2.34,,1070.0,293.83331,50.23035,5005.0,0.765,,,,
K00780.02,K00780.02,7.2406612,19.45,,734.0,293.83331,50.23035,5005.0,0.765,,,,
K00115.03,K00115.03,3.43591631,0.55,,1272.0,287.88733,46.276241,5779.0,1.087,,,,
Kepler-676 b,K00781.01,11.59822233,2.65,,396.0,296.22195,50.28722,3688.0,0.473,,,,
Kepler-677 b,K00782.01,6.575315881,5.31,,1015.0,290.09805,50.321609,5992.0,0.989,,,,
Kepler-678 b,K00783.01,7.275040844,4.86,,833.0,295.45529,50.49456,5485.0,0.867,,,,
Kepler-231 c,K00784.01,19.27153892,1.93,,393.0,293.97336,50.53191,4077.0,0.56,,,,
Kepler-231 b,K00784.02,10.06524317,1.91,,488.0,293.97336,50.53191,4077.0,0.56,,,,
Kepler-679 b,K00785.01,12.3935651,2.66,,677.0,296.02133,50.56778,5557.0,0.75,,,,
Kepler-106 e,K00116.02,43.84439721,2.87,,531.0,300.86398,44.337551,5854.0,1.012,,,,
K00798.01,K00798.01,3.341913228,21.55,,1032.0,292.31595,38.27029,5295.0,0.811,,,,
K00799.01,K00799.01,1.626630225,32.43,,1547.0,294.36819,38.31028,5735.0,0.973,,,,
Kepler-234 b,K00800.01,2.711504086,3.12,,1420.0,291.65353,38.494659,6214.0,1.076,,,,
Kepler-234 c,K00800.02,7.21203748,3.32,,1025.0,291.65353,38.494659,6214.0,1.076,,,,
K00789.01,K00789.01,14.1798187,1.88,,711.0,291.0448,51.321671,5799.0,0.878,,,,
Kepler-233 b,K00790.01,8.47237911,2.59,,751.0,296.36652,51.319519,5354.0,0.788,,,,
Kepler-233 c,K00790.02,60.4189369,2.36,,390.0,296.36652,51.319519,5354.0,0.788,,,,
Kepler-682 b,K00791.01,12.611904345,7.4,,753.0,289.11221,51.737381,5795.0,0.919,,,,
K00792.01,K00792.01,1.433769925,46.58,,1920.0,290.84369,37.728828,6017.0,1.339,,,,
K00793.01,K00793.01,10.31872301,28.59,,876.0,291.84891,37.713501,5927.0,1.06,,,,
Kepler-683 b,K00794.01,2.539183147,2.06,,1332.0,291.43997,37.905659,5519.0,1.062,,,,
Kepler-684 b,K00795.01,6.770300385,2.77,,812.0,290.87051,38.273628,5653.0,0.679,,,,
K00796.01,K00796.01,0.444291966,27.51,,1836.0,290.99689,38.28492,5255.0,0.636,,,,
K00797.01,K00797.01,10.181584004,7.73,,812.0,291.28195,38.241669,5988.0,0.836,,,,
Kepler-235 d,K00812.02,20.06036336,1.96,,361.0,286.07913,39.27832,3950.0,0.493,,,,
Kepler-235 e,K00812.03,46.1842039,1.83,,273.0,286.07913,39.27832,3950.0,0.493,,,,
Kepler-106 d,K00116.04,23.9800854,1.31,,649.0,300.86398,44.337551,5854.0,1.012,,,,
Kepler-235 c,K00812.04,7.82502168,1.2,,494.0,286.07913,39.27832,3950.0,0.493,,,,
Kepler-688 b,K00813.01,3.895936525,7.34,,1005.0,294.65524,39.308361,5557.0,0.774,,,,
Kepler-689 b,K00814.01,22.36646466,2.32,,536.0,294.71063,39.52174,5395.0,0.734,,,,
Kepler-685 b,K00801.01,1.625522174,9.73,,1579.0,293.87192,38.422939,5539.0,1.106,,,,
K00802.01,K00802.01,19.620346923,13.6,,643.0,293.81619,38.563568,5710.0,0.905,,,,
K00803.01,K00803.01,7.544039,17.47,,838.0,293.94116,38.601101,5657.0,0.824,,,,
Kepler-1727 b,K00804.01,9.02930689,2.57,,757.0,290.33362,38.72823,5349.0,0.82,,,,
K00805.01,K00805.01,10.328035714,13.28,,843.0,287.69675,38.886452,5627.0,1.024,,,,
Kepler-30 d,K00806.01,143.2063047,8.9,,308.0,285.28363,38.947281,5485.0,0.867,,,,
Kepler-106 b,K00116.03,6.164876,0.79,,1021.0,300.86398,44.337551,5854.0,1.012,,,,
