pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
K03431.01,K03431.01,19.6001405,2.08,,676.0,285.22256,45.70874,6003.0,0.932,,,,
K07808.01,K07808.01,361.526458,5.7,,410.0,295.23029,42.516079,7196.0,1.923,,,,
Kepler-1498 b,K03432.01,48.0506878,2.36,,564.0,284.77811,44.916779,5332.0,1.453,,,,
K03433.01,K03433.01,34.08429351,36.05,,506.0,282.34613,42.60891,5252.0,0.922,,,,
K03816.01,K03816.01,9.44942628,75.22,,1192.0,286.28629,43.615978,5092.0,2.664,,,,
K03817.01,K03817.01,0.933489066,48.01,,1979.0,296.33084,40.896259,5758.0,1.084,,,,
K03818.01,K03818.01,1.908525084,3.74,,3191.0,289.73917,41.965271,9174.0,2.471,,,,
K07788.01,K07788.01,0.798467681,0.82,,1718.0,288.00983,42.14996,5575.0,0.733,,,,
K03819.01,K03819.01,0.867721348,67.0,,2089.0,298.49457,40.731586,5510.0,1.276,,,,
K03820.01,K03820.01,161.252567,5.04,,318.0,298.93143,40.404911,5985.0,0.811,,,,
Kepler-1526 b,K03893.01,3.90863457,1.86,,787.0,285.11969,38.866421,4518.0,0.653,,,,
Kepler-359 d,K02092.03,77.086191,29.77,,464.0,293.29364,42.19635,6228.0,1.049,,,,
K03894.01,K03894.01,1.673662758,23.42,,1729.0,298.14502,40.69809,6444.0,1.053,,,,
K03895.01,K03895.01,5.93717724,594.32,,1005.0,289.17267,50.630558,5780.0,1.0,,,,
K03896.01,K03896.01,3.89043062,1.24,,1106.0,296.71689,41.504978,5646.0,0.896,,,,
K03897.01,K03897.01,16.8282542,2.66,,668.0,291.92963,39.067108,5575.0,0.972,,,,
K03667.01,K03667.01,2.489549075,59.57,,1708.0,296.4747,48.85371,6184.0,1.406,,,,
Kepler-342 e,K01955.03,1.644221032,1.18,,1897.0,292.67807,46.726711,6297.0,1.369,,,,
K03668.01,K03668.01,4.469731089,84.63,,1614.0,300.78256,44.65501,5758.0,2.318,,,,
K03669.01,K03669.01,1.731803197,22.87,,1526.0,289.25427,39.409729,5761.0,1.029,,,,
K03670.01,K03670.01,2.64830047,126.54,,3042.0,293.09363,37.514511,4839.0,9.278,,,,
Kepler-348 c,K02011.02,17.2653659,1.16,,888.0,297.25504,40.54837,6388.0,1.402,,,,
K03743.01,K03743.01,3.486318703,54.53,,1201.0,295.05191,40.012619,5780.0,1.0,,,,
K03744.01,K03744.01,1.705780649,25.95,,1101.0,295.06152,49.046558,4970.0,0.591,,,,
K03745.01,K03745.01,7.45306683,1044.28,,932.0,290.25198,37.763203,5780.0,1.0,,,,
K03746.01,K03746.01,2.929299629,51.67,,1272.0,292.07089,50.546799,5780.0,1.0,,,,
K03747.01,K03747.01,5.50811352,34.03,,778.0,294.47,46.589581,5188.0,0.624,,,,
K03821.01,K03821.01,0.569115097,156.15,,3357.0,290.64828,41.23407,7174.0,1.705,,,,
K03822.01,K03822.01,2.529073751,25.8,,1137.0,291.13748,45.11092,5465.0,0.766,,,,
K03823.01,K03823.01,202.1168173,5.8,,286.0,286.77145,39.983822,5536.0,0.917,,,,
K03824.01,K03824.01,0.916326699,50.7,,1917.0,290.09695,41.97068,6046.0,0.972,,,,
Kepler-154 b,K00435.03,33.0405509,2.36,,561.0,289.78052,49.89653,5688.0,0.971,,,,
K03898.01,K03898.01,1.306723495,27.42,,1170.0,294.32037,45.501282,4651.0,0.657,,,,
K03899.01,K03899.01,0.7967202,56.89,,1964.0,294.35196,38.604702,5780.0,1.0,,,,
K03900.01,K03900.01,359.102042,28.76,,290.0,290.15457,50.259689,6355.0,1.108,,,,
Kepler-1527 b,K03901.01,160.130899,6.67,,450.0,297.41443,46.060822,6092.0,1.759,,,,
K03902.01,K03902.01,2.69634575,1.46,,1287.0,283.78958,47.806431,5418.0,1.051,,,,
K03903.01,K03903.01,2.553924603,32.67,,1352.0,298.45837,40.39193,5993.0,0.986,,,,
K03671.01,K03671.01,8.487871809,46.24,,798.0,280.8858,47.565632,5553.0,0.855,,,,
K03672.01,K03672.01,5.50817321,39.18,,768.0,294.47156,46.58923,5051.0,0.644,,,,
K03673.01,K03673.01,6.142812722,31.9,,994.0,292.02893,49.387688,5780.0,1.0,,,,
K03674.01,K03674.01,175.06586091,40.63,,312.0,292.16528,37.794048,6021.0,0.819,,,,
K03675.01,K03675.01,20.8392148,51.9,,584.0,294.96225,46.225609,5378.0,0.812,,,,
K03676.01,K03676.01,9.50158045,73.07,,860.0,299.68124,40.967922,5780.0,1.0,,,,
K03747.02,K03747.02,19.226055,3.52,,513.0,294.47,46.589581,5193.0,0.621,,,,
K03748.01,K03748.01,2.050435466,34.84,,1278.0,287.16849,39.379581,5440.0,0.825,,,,
K03749.01,K03749.01,10.72725536,12.85,,307.0,285.00772,49.503979,3324.0,0.268,,,,
K03750.01,K03750.01,1.507101452,39.32,,1573.0,297.26233,43.30434,5884.0,0.876,,,,
K03751.01,K03751.01,1.274841686,63.68,,2025.0,300.72165,45.306702,6211.0,1.281,,,,
Kepler-1073 c,K02055.02,4.02582434,1.79,,1169.0,294.15271,38.23304,5509.0,1.116,,,,
K03825.01,K03825.01,2.845746618,135.99,,1667.0,296.67532,40.650009,5641.0,1.776,,,,
K03826.01,K03826.01,2.30120705,28.64,,1254.0,294.22784,44.134739,5641.0,0.85,,,,
K03827.01,K03827.01,337.377514,37.23,,271.0,295.73285,40.26078,6029.0,0.998,,,,
K03827.02,K03827.02,389.28075044,,,,295.73285,40.26078,,,,,,
K03828.01,K03828.01,8.58965725,27.86,,828.0,298.82263,46.939129,5697.0,0.892,,,,
K02093.02,K02093.02,2.508116,12.28,,3662.0,292.95416,41.934799,5096.0,8.769,,,,
K03904.01,K03904.01,8.56751264,23.05,,972.0,299.52237,40.611252,6212.0,1.054,,,,
K03905.01,K03905.01,1.061934313,15.14,,1104.0,288.90912,44.591831,4304.0,0.566,,,,
K03906.01,K03906.01,2.406574511,26.22,,1481.0,292.69342,46.793892,6167.0,1.107,,,,
K03907.01,K03907.01,28.64338839,5.82,,871.0,296.9978,42.65332,6507.0,1.767,,,,
K07792.01,K07792.01,96.231257,29.26,,965.0,296.44431,42.28735,4895.0,9.529,,,,
K03677.01,K03677.01,30.5528701,63.57,,685.0,290.96396,38.469501,6441.0,1.165,,,,
Kepler-342 c,K01955.04,26.2347447,2.76,,754.0,292.67807,46.726711,6297.0,1.369,,,,
Kepler-1513 b,K03678.01,160.88451966,9.09,,346.0,289.7916,39.285328,5650.0,1.044,,,,
K03679.01,K03679.01,4.04506346,67.94,,1143.0,294.58798,40.167068,5780.0,1.0,,,,
Kepler-1657 b,K03680.01,141.2415405,11.49,,352.0,293.28156,45.309669,5705.0,1.017,,,,
Kepler-1514 b,K03681.01,217.83184293,11.17,,343.0,292.62747,37.860142,6259.0,1.167,,,,
K02018.02,K02018.02,16.0988294,1.14,,705.0,299.526,46.899261,5657.0,0.911,,,,
K03752.01,K03752.01,1.433262145,5.67,,1769.0,299.24219,41.62323,5977.0,1.068,,,,
K03753.01,K03753.01,0.782046543,43.07,,1372.0,290.26721,44.711441,4768.0,0.591,,,,
K03754.01,K03754.01,5.663604992,54.55,,1021.0,284.79047,45.230106,5780.0,1.0,,,,
K03755.01,K03755.01,18.076610347,39.16,,533.0,294.12576,46.797779,4848.0,0.764,,,,
K03756.01,K03756.01,6.47173281,13.68,,1338.0,296.69699,47.407627,6318.0,1.685,,,,
K03830.01,K03830.01,1.031100362,27.35,,1584.0,296.14957,47.937832,5666.0,0.752,,,,
K03831.01,K03831.01,0.597933142,63.46,,2161.0,299.07919,40.828976,5780.0,1.0,,,,
K03832.01,K03832.01,5.36652724,7.97,,982.0,295.56024,43.203178,5858.0,0.849,,,,
K03834.01,K03834.01,1.540392098,17.63,,1210.0,286.93588,38.924469,4911.0,0.724,,,,
Kepler-1521 b,K03835.01,47.1484324,2.58,,391.0,292.69028,37.83498,4975.0,0.734,,,,
Kepler-1073 d,K02055.03,2.50475282,1.48,,1369.0,294.15271,38.23304,5509.0,1.116,,,,
Kepler-1929 b,K03908.01,59.3627946,2.23,,566.0,299.58337,47.448078,5786.0,1.471,,,,
K03909.01,K03909.01,247.891041,4.74,,367.0,293.8183,41.21146,6121.0,1.536,,,,
K03910.01,K03910.01,2.199076661,21.72,,1179.0,298.78415,47.655548,5310.0,0.791,,,,
Kepler-1528 b,K03911.01,1.79110997,1.29,,1549.0,287.40295,46.573978,6040.0,0.999,,,,
K03912.01,K03912.01,7.77241144,1.69,,938.0,292.02042,39.16156,6014.0,0.993,,,,
K07793.01,K07793.01,1.99469354,0.46,,758.0,291.85205,42.343361,3799.0,0.51,,,,
Kepler-1514 c,K03681.02,10.51421162,1.25,,943.0,292.62747,37.860142,6259.0,1.167,,,,
K03682.01,K03682.01,11.344347453,62.52,,810.0,290.53476,44.774345,5780.0,1.0,,,,
Kepler-1515 b,K03683.01,214.3120439,9.17,,380.0,290.97394,48.178162,6471.0,1.357,,,,
K03684.01,K03684.01,0.876826336,37.24,,2042.0,287.15314,45.983829,6344.0,0.962,,,,
K03685.01,K03685.01,208.86909724,29.95,,316.0,291.4946,44.523499,5914.0,0.987,,,,
Kepler-1516 b,K03685.02,7.2593226,1.57,,967.0,291.4946,44.523499,5914.0,0.987,,,,
K03757.01,K03757.01,1.98663794,134.5,,3234.0,291.85333,42.30669,9191.0,2.619,,,,
K03758.01,K03758.01,13.54208867,26.65,,727.0,297.27789,43.56955,5496.0,0.927,,,,
K03759.01,K03759.01,7.549303633,34.45,,794.0,283.95078,44.669022,5402.0,0.815,,,,
K03760.01,K03760.01,0.77544539,35.53,,1883.0,297.55621,43.854988,5861.0,0.865,,,,
K03761.01,K03761.01,164.950399,11.23,,252.0,294.89749,44.21579,5001.0,0.664,,,,
K07810.01,K07810.01,308.255238,18.98,,576.0,280.99176,42.610538,4852.0,7.797,,,,
K03836.01,K03836.01,3.46724809,2.52,,841.0,293.40939,43.225201,4969.0,0.543,,,,
K03837.01,K03837.01,7.4413445,43.5,,1136.0,287.3717,46.564838,6540.0,1.183,,,,
K03838.01,K03838.01,4.618309224,25.43,,947.0,296.39835,43.803532,5452.0,0.815,,,,
K03839.01,K03839.01,0.677761275,22.15,,1906.0,298.71072,47.037449,5699.0,0.853,,,,
K03840.01,K03840.01,2.845739012,44.7,,1294.0,296.67294,40.650982,5982.0,0.96,,,,
K07789.01,K07789.01,175.358905,2.9,,420.0,292.72238,42.242031,5109.0,2.02,,,,
K03913.01,K03913.01,0.582895412,5.87,,2347.0,294.61252,47.343262,6263.0,1.009,,,,
K02093.03,K02093.03,0.496069986,10.0,,6285.0,292.95416,41.934799,5096.0,8.769,,,,
K03914.01,K03914.01,12.42618005,3.48,,551.0,297.66675,40.65416,4624.0,0.684,,,,
K03915.01,K03915.01,2.189090653,23.25,,1185.0,285.89816,39.672218,5401.0,0.777,,,,
Kepler-1529 b,K03916.01,5.33905606,1.9,,817.0,289.8707,41.04073,5057.0,0.704,,,,
K07794.01,K07794.01,1.99492332,0.94,,1451.0,291.85974,42.348701,5957.0,0.971,,,,
Kepler-343 c,K01960.02,23.2218115,2.42,,746.0,291.96069,42.43301,5808.0,1.374,,,,
K03686.01,K03686.01,3.351573993,24.15,,1282.0,295.52621,46.457142,5984.0,1.033,,,,
K03687.01,K03687.01,8.097050622,24.01,,891.0,293.44687,37.72121,5753.0,0.894,,,,
K03688.01,K03688.01,2.119107262,77.23,,1851.0,294.30389,40.192558,6381.0,1.423,,,,
K03689.01,K03689.01,5.24088367,12.74,,1320.0,285.9718,42.545712,6452.0,1.305,,,,
K07800.01,K07800.01,0.887691177,1.53,,2709.0,298.33722,42.432911,5500.0,2.491,,,,
Kepler-351 d,K02028.03,142.545,2.52,,318.0,286.4527,42.657879,5642.0,0.846,,,,
Kepler-1519 b,K03762.01,240.7990472,10.31,,342.0,296.66791,49.461861,5758.0,1.385,,,,
K03763.01,K03763.01,0.888584158,43.7,,1211.0,290.99725,38.282616,4324.0,0.616,,,,
K03765.01,K03765.01,0.865959015,144.5,,1162.0,290.91916,50.696388,4561.0,0.469,,,,
K03766.01,K03766.01,0.594276199,266.99,,1564.0,291.49286,39.050152,4756.0,0.667,,,,
K03841.01,K03841.01,1.527491117,27.85,,988.0,300.00583,44.718781,4273.0,0.595,,,,
K07811.01,K07811.01,0.566814046,0.56,,2039.0,291.08887,42.613899,5724.0,0.827,,,,
K03842.01,K03842.01,0.61496383,44.79,,1460.0,294.35965,46.125389,4509.0,0.663,,,,
K03843.01,K03843.01,161.253747,4.98,,295.0,298.94003,40.419441,5570.0,0.803,,,,
K03844.01,K03844.01,2.974163938,34.74,,1266.0,281.43701,42.727314,5780.0,1.0,,,,
K03845.01,K03845.01,15.84131693,670.04,,2252.0,296.61591,50.021709,4993.0,19.695,,,,
K02055.04,K02055.04,6.13074243,1.26,,916.0,294.15271,38.23304,5741.0,0.833,,,,
Kepler-1530 d,K03925.01,9.2075634,5.5,,972.0,288.16251,48.16515,5678.0,1.303,,,,
Kepler-1530 b,K03925.02,2.5903958,2.55,,1484.0,288.16251,48.16515,5678.0,1.303,,,,
Kepler-1530 c,K03925.03,5.3235335,2.69,,1167.0,288.16251,48.16515,5678.0,1.303,,,,
K03926.01,K03926.01,0.831741499,41.62,,2198.0,294.75632,49.792091,6343.0,1.14,,,,
K03927.01,K03927.01,4.44737112,2.06,,1068.0,284.39655,45.13604,5472.0,0.981,,,,
K03690.01,K03690.01,12.893018017,62.52,,1004.0,294.16989,46.425289,6387.0,1.408,,,,
K07795.01,K07795.01,5.44085762,0.97,,892.0,297.8728,42.303291,5519.0,0.762,,,,
K03691.01,K03691.01,4.532416322,62.25,,1328.0,293.08649,39.801788,6306.0,1.281,,,,
K03691.02,K03691.02,2.26631937,,,,293.08649,39.801788,,,,,,
K03692.01,K03692.01,1.160153553,60.47,,2183.0,298.65833,41.138882,6200.0,1.382,,,,
K03693.01,K03693.01,4.032760214,378.61,,2582.0,295.80582,43.304451,4969.0,9.433,,,,
K03694.01,K03694.01,3.723552982,18.83,,1176.0,290.41669,41.52578,6063.0,0.89,,,,
K03767.01,K03767.01,6.714247798,14.78,,809.0,299.08057,44.29501,5159.0,0.8,,,,
K07801.01,K07801.01,2.21396079,0.87,,1123.0,284.31454,42.589321,4922.0,0.823,,,,
K03768.01,K03768.01,11.35501209,8.0,,534.0,291.08334,40.566639,4594.0,0.567,,,,
K03769.01,K03769.01,1.195515251,49.33,,1959.0,297.54337,41.947979,6040.0,1.155,,,,
K03770.01,K03770.01,2.60720833,7.31,,1561.0,290.93671,40.12492,6366.0,1.236,,,,
K03771.01,K03771.01,5.80184753,14.0,,989.0,298.77109,47.785412,5687.0,0.921,,,,
K03772.01,K03772.01,2.38404983,66.14,,1363.0,299.64487,40.690601,5780.0,1.0,,,,
K03846.01,K03846.01,5.24078259,24.73,,1080.0,298.84415,43.725361,6192.0,0.917,,,,
K03847.01,K03847.01,5.26641416,2.62,,1421.0,293.96725,42.833279,6338.0,1.602,,,,
Kepler-1522 b,K03848.01,1.847892736,1.51,,1374.0,289.84323,52.07016,5763.0,0.842,,,,
K03849.01,K03849.01,0.604358764,23.28,,997.0,290.51895,45.235371,3569.0,0.427,,,,
K03850.01,K03850.01,11.3775281,82.26,,1177.0,300.19409,45.145741,6943.0,1.66,,,,
K03851.01,K03851.01,0.7981968,62.38,,1963.0,296.99054,46.598999,5780.0,1.0,,,,
K03917.01,K03917.01,0.695954898,2.58,,2740.0,297.13989,49.381618,6737.0,1.425,,,,
K03918.01,K03918.01,0.948951607,115.31,,1853.0,293.24536,38.272182,5780.0,1.0,,,,
K03919.01,K03919.01,19.37070781,108.54,,1180.0,290.1377,39.765202,5321.0,4.335,,,,
K03920.01,K03920.01,14.46993942,85.84,,1713.0,290.22916,37.76141,4735.0,9.043,,,,
K03921.01,K03921.01,1.278555003,5.19,,1515.0,295.08237,47.08625,5636.0,0.827,,,,
Kepler-1031 b,K01972.02,1.226223959,1.0,,2024.0,296.08975,48.955372,5855.0,1.34,,,,
K03695.01,K03695.01,2.244600029,27.47,,1190.0,296.4682,43.80146,5256.0,0.802,,,,
K03696.01,K03696.01,181.8521773,46.38,,333.0,287.62381,40.605469,6063.0,1.012,,,,
K03697.01,K03697.01,223.1127475,46.33,,332.0,291.63467,44.647598,6211.0,1.056,,,,
K03698.01,K03698.01,15.64064161,77.18,,921.0,293.61035,39.415089,6517.0,1.374,,,,
Kepler-352 d,K02029.03,6.8873113,0.72,,788.0,299.89651,46.051971,5208.0,0.772,,,,
K03773.01,K03773.01,1.103978,,,,289.71304,47.343498,,,,,,
K07802.01,K07802.01,43.8496474,21.42,,1286.0,285.99533,42.534199,4893.0,10.363,,,,
K03775.01,K03775.01,0.752158047,106.66,,2869.0,297.10815,42.752918,5770.0,2.221,,,,
K03776.01,K03776.01,3.796488133,40.83,,1233.0,295.83008,45.789822,6137.0,1.018,,,,
K03777.01,K03777.01,17.7476059,146.63,,1998.0,295.86945,39.15881,8992.0,4.832,,,,
K03852.01,K03852.01,1.233076007,31.39,,1513.0,298.00113,40.047878,5602.0,0.817,,,,
K03853.01,K03853.01,21.5135234,534.47,,1006.0,287.46786,37.96664,5088.0,3.318,,,,
K07784.01,K07784.01,19.4444573,1.53,,749.0,294.504,41.968159,6278.0,1.081,,,,
K03854.01,K03854.01,1.1910489,22.76,,1348.0,292.922,38.670292,5089.0,0.693,,,,
K03855.01,K03855.01,0.546248198,54.23,,2227.0,287.13596,37.838306,5780.0,1.0,,,,
K02059.02,K02059.02,2.18565886,0.44,,1087.0,287.59009,51.06057,4997.0,0.746,,,,
K03856.01,K03856.01,1.811966339,95.19,,2573.0,299.85965,40.56395,5904.0,3.348,,,,
K03922.01,K03922.01,66.1539783,9.69,,468.0,288.92923,42.529202,6077.0,0.999,,,,
K03923.01,K03923.01,158.3226379,25.41,,211.0,293.07538,40.122139,4340.0,0.572,,,,
Kepler-154 e,K00435.04,3.93276627,1.5,,1140.0,289.78052,49.89653,5688.0,0.971,,,,
Kepler-1090 b,K02094.02,198.680859,2.79,,297.0,295.66287,44.525841,5330.0,1.013,,,,
K03924.01,K03924.01,1.592634161,100.2,,2255.0,291.76633,37.097191,6574.0,1.768,,,,
K03699.01,K03699.01,3.31577795,27.77,,1104.0,290.32596,37.76152,5528.0,0.849,,,,
K03700.01,K03700.01,2.990252395,89.85,,1264.0,287.75238,38.929794,5780.0,1.0,,,,
K03701.01,K03701.01,2.08043378,510.48,,1629.0,299.02432,41.823719,6377.0,1.119,,,,
K03702.01,K03702.01,4.944046127,54.29,,1069.0,292.69629,37.707237,5780.0,1.0,,,,
K03703.01,K03703.01,4.464565251,43.21,,1024.0,299.54694,40.861271,5743.0,0.853,,,,
K03704.01,K03704.01,1.523298835,38.95,,1404.0,290.17883,37.848949,5311.0,0.866,,,,
K03778.01,K03778.01,3.539631353,39.34,,2214.0,290.43008,51.271549,7021.0,2.629,,,,
K03779.01,K03779.01,6.195861785,215.89,,883.0,296.63696,40.366982,5608.0,0.813,,,,
K07803.01,K07803.01,0.566805514,0.82,,1920.0,290.96289,42.570709,5115.0,0.917,,,,
K03780.01,K03780.01,27.961084,21.5,,796.0,291.38675,42.260509,6770.0,1.361,,,,
K03782.01,K03782.01,186.5168116,37.5,,452.0,295.08725,49.169899,5018.0,2.99,,,,
K03783.01,K03783.01,197.1455327,72.16,,498.0,294.67377,46.122673,7214.0,1.935,,,,
K03857.01,K03857.01,0.532087933,74.83,,2247.0,296.96957,50.067093,5780.0,1.0,,,,
K03858.01,K03858.01,3.204222652,23.55,,979.0,291.04214,51.026321,5139.0,0.741,,,,
K03859.01,K03859.01,0.687898282,55.58,,2062.0,282.1741,46.45676,5780.0,1.0,,,,
K03860.01,K03860.01,2.178154774,19.46,,1180.0,288.00998,46.306061,5515.0,0.712,,,,
K03861.01,K03861.01,0.99466172,31.84,,1898.0,300.439,44.663319,5750.0,1.021,,,,
K03862.01,K03862.01,359.00688,28.57,,237.0,291.18866,38.751259,5715.0,0.834,,,,
Kepler-1531 b,K03928.01,1.138548215,1.45,,2537.0,285.14658,39.370789,6520.0,1.713,,,,
K03929.01,K03929.01,121.0598037,1680.99,,1792.0,300.4682,44.981426,3942.0,60.688,,,,
K07790.01,K07790.01,0.721335207,0.54,,2162.0,293.66803,42.223511,6328.0,0.948,,,,
K03930.01,K03930.01,3.28274272,1.85,,1136.0,289.86264,49.637299,5741.0,0.82,,,,
K03931.01,K03931.01,1.231361934,2.93,,1839.0,290.27328,47.986469,6095.0,1.016,,,,
Kepler-1093 c,K02098.02,89.7224125,2.21,,508.0,284.978,41.420158,6429.0,1.262,,,,
Kepler-1038 c,K01986.02,7.12766417,1.21,,784.0,298.97217,44.132381,5159.0,0.821,,,,
K03705.01,K03705.01,2.080431782,345.7,,2719.0,299.02353,41.82198,8344.0,2.115,,,,
K07796.01,K07796.01,3.52364689,0.94,,1330.0,298.72821,42.372631,6269.0,1.085,,,,
K03706.01,K03706.01,1.157804607,118.11,,2255.0,297.18048,43.477112,6510.0,1.425,,,,
K03707.01,K03707.01,19.979098,22.98,,739.0,299.15503,40.288132,5907.0,1.126,,,,
K03708.01,K03708.01,1.433262401,136.47,,2691.0,299.24063,41.621681,7311.0,1.959,,,,
K03784.01,K03784.01,23.8706941,49.6,,711.0,285.8418,40.925449,6022.0,1.166,,,,
K02029.04,K02029.04,4.78850084,0.63,,889.0,299.89651,46.051971,5208.0,0.772,,,,
K07804.01,K07804.01,0.566769068,1.06,,2661.0,291.0571,42.583359,5496.0,1.533,,,,
K03785.01,K03785.01,6.2820426,23.76,,2021.0,295.61594,39.196709,6635.0,3.798,,,,
K03786.01,K03786.01,0.97430309,37.62,,1643.0,291.98416,38.088371,5688.0,0.786,,,,
K03787.01,K03787.01,141.73403059,10.3,,329.0,288.43912,43.505249,5606.0,0.918,,,,
K03862.02,K03862.02,119.686505,23.0,,341.0,291.18866,38.751259,5715.0,0.834,,,,
K03863.01,K03863.01,53.556625,26.31,,1076.0,300.40677,44.414188,7643.0,3.618,,,,
K07785.01,K07785.01,433.220461,2.07,,203.0,294.62714,41.933182,5232.0,0.777,,,,
Kepler-1698 b,K03864.01,1.210693626,0.99,,1351.0,293.34497,39.257809,5014.0,0.756,,,,
Kepler-2001 b,K02061.02,1.090011003,1.04,,1402.0,291.65952,50.583881,5081.0,0.77,,,,
K03864.02,K03864.02,18.2572722,0.94,,547.0,293.34497,39.257809,5014.0,0.756,,,,
Kepler-332 d,K01905.03,34.2115022,1.15,,427.0,286.66296,47.4137,4955.0,0.721,,,,
K03630.01,K03630.01,7.061149921,43.71,,842.0,284.67484,47.340809,5585.0,0.798,,,,
K03631.01,K03631.01,2.682767439,70.67,,1310.0,291.88657,44.224564,5780.0,1.0,,,,
K03632.01,K03632.01,3.711012492,46.24,,1310.0,289.69757,38.408852,6141.0,1.117,,,,
K03633.01,K03633.01,1.780982447,60.45,,1502.0,288.76028,50.176834,5780.0,1.0,,,,
K03634.01,K03634.01,1.815632406,108.78,,3429.0,291.63495,41.76569,9954.0,2.408,,,,
K03709.01,K03709.01,205.5833309,42.69,,323.0,291.52313,37.887642,6328.0,0.915,,,,
K03710.01,K03710.01,4.309067482,101.41,,882.0,294.29193,46.161968,4897.0,0.789,,,,
K07797.01,K07797.01,36.4721523,0.7,,527.0,287.94504,42.413551,5853.0,0.895,,,,
K03711.01,K03711.01,111.0396205,8.6,,335.0,299.84598,40.84531,5470.0,0.777,,,,
K03712.01,K03712.01,3.187087241,928.96,,4037.0,290.19952,37.776989,4599.0,23.673,,,,
K03713.01,K03713.01,1.023470248,100.39,,1807.0,300.45883,43.936024,5780.0,1.0,,,,
K03714.01,K03714.01,0.875267982,39.19,,1910.0,294.31912,49.532131,5821.0,0.898,,,,
K03788.01,K03788.01,5.55260695,2674.69,,6436.0,292.4393,45.952358,3306.0,116.965,,,,
K03789.01,K03789.01,2.347479696,60.5,,1502.0,298.28323,45.130939,5891.0,1.138,,,,
K07805.01,K07805.01,1.13353095,0.49,,2006.0,291.15805,42.576279,6318.0,1.121,,,,
K03790.01,K03790.01,0.890745373,36.92,,1892.0,295.78812,42.846355,5780.0,1.0,,,,
Kepler-460 b,K03791.01,440.7843755,7.23,,308.0,288.47485,40.65136,6340.0,1.393,,,,
K03792.01,K03792.01,2.723858181,7.13,,900.0,289.34863,50.482861,4416.0,0.733,,,,
K03793.01,K03793.01,0.635441862,56.3,,2118.0,285.08014,39.183899,5780.0,1.0,,,,
K03865.01,K03865.01,3.255189932,1.39,,1390.0,292.52734,40.745201,5807.0,1.256,,,,
K03866.01,K03866.01,2.531140101,32.12,,1100.0,298.57938,40.365108,5325.0,0.75,,,,
Kepler-1523 b,K03867.01,0.938750221,1.46,,1676.0,296.05405,45.827049,5497.0,0.886,,,,
K03868.01,K03868.01,2.992704682,7.86,,2328.0,299.55338,45.522049,5908.0,3.915,,,,
K03869.01,K03869.01,6.12810722,39.52,,1513.0,293.5192,41.671791,7245.0,1.667,,,,
K03635.01,K03635.01,2.115511511,36.16,,897.0,287.17935,38.433701,4188.0,0.661,,,,
K03636.01,K03636.01,2.446736567,71.52,,1351.0,298.95847,40.863552,5780.0,1.0,,,,
K03637.01,K03637.01,21.3779536,173.18,,1062.0,293.65988,40.361942,4905.0,3.484,,,,
K03638.01,K03638.01,4.350460215,533.08,,1472.0,290.22836,40.355389,6585.0,1.416,,,,
K03639.01,K03639.01,22.77194512,251.93,,1254.0,298.91165,47.658298,5073.0,4.61,,,,
Kepler-335 c,K01915.02,67.844689,2.65,,592.0,296.06433,45.428619,5878.0,1.812,,,,
Kepler-347 c,K01992.02,27.3214242,3.61,,705.0,289.19958,49.305721,5592.0,1.451,,,,
K03715.01,K03715.01,9.84883968,63.42,,1134.0,295.33884,40.037289,6938.0,1.31,,,,
K03716.01,K03716.01,10.23335969,,,,301.11429,44.825802,,,,,,
K03717.01,K03717.01,227.6625222,44.24,,319.0,290.58289,48.960411,6124.0,1.007,,,,
K03718.01,K03718.01,1.06100873,9.14,,1568.0,297.87793,40.10471,5080.0,0.947,,,,
K03719.01,K03719.01,0.623393802,28.21,,1379.0,294.31943,46.619598,4330.0,0.639,,,,
Kepler-1520 b,K03794.01,0.65355361,22.95,,1437.0,290.96622,51.504719,4550.0,0.66,,,,
Kepler-1065 c,K02034.02,2.3702932,1.29,,1256.0,294.51126,38.790501,5668.0,0.868,,,,
K07806.01,K07806.01,0.566793534,122.64,,14667.0,291.18686,42.591022,3420.0,138.056,,,,
K03795.01,K03795.01,1.873380717,89.79,,1669.0,290.47421,38.427368,5992.0,1.171,,,,
K03796.01,K03796.01,1.87337894,51.11,,2925.0,290.47714,38.42691,4740.0,5.721,,,,
K03797.01,K03797.01,7.50023955,21.06,,901.0,295.36914,40.787121,5849.0,0.919,,,,
K03870.01,K03870.01,23.6270348,21.71,,560.0,299.21881,44.181862,5305.0,0.857,,,,
K03871.01,K03871.01,0.716709897,66.73,,3124.0,282.19843,46.52029,5173.0,2.742,,,,
K03872.01,K03872.01,2.248063246,30.38,,1566.0,294.77063,39.751202,6325.0,1.112,,,,
K03873.01,K03873.01,63.3278636,54.17,,896.0,291.55862,44.48819,4919.0,5.198,,,,
Kepler-1085 b,K02076.02,219.3215562,6.11,,313.0,287.47763,46.141178,6063.0,1.012,,,,
K03640.01,K03640.01,245.4382021,19.17,,289.0,298.7836,43.854832,5637.0,0.99,,,,
K03641.01,K03641.01,178.4129899,33.24,,361.0,288.32785,38.627621,6078.0,1.148,,,,
K03641.02,K03641.02,178.44973004,,,,288.32785,38.627621,,,,,,
