pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
8.34998,11.1424,588.0,4236.0,0.74,4.52,19.9348
4.0686405,3.7548333,772.378302,4236.0,0.741921,4.52,84.108766
0.5860366,4.906408,3263.6721812,5579.0,2.39803,3.67,26813.1057089
1.5502952,3.34528,2839.0,7851.0,1.86,4.17,10796.6
1.80709,4.86242,2569.0,6244.0,2.2,3.84,7233.01
18.6922101,18.1458,1141.0,6277.0,1.65,4.09,282.175
8.0277326,9.06883,1106.0,5962.7,1.15,4.38,248.619
12.5187279,5.58857,1393.0,5729.0,0.98,4.47,626.362
6.2586065,2.51593,1087.0,5729.0,0.98,4.47,232.392
26.3208756,2.71349,631.0,5729.0,0.98,4.47,26.4328
18.795547,2.1597669,672.9826313,5729.0,0.977727,4.47,48.477077
1.3206356,34.7561624,1982.7142102,4919.6,6.3070302,,3652.2582486
0.64971,6.23181,4731.0,9994.0,2.59,4.02,83182.0
3.1644075,14.8814743,1747.9490013,6519.0,1.7234,4.22068,2206.1550476
3.0440541,12.1086799,1075.3184542,5523.0,0.809868,4.52192,315.9871326
3.9652485,1.2305102,386.6684768,3296.0,0.199988,4.96636,5.2829448
2.98278,11.467011,,6027.0,1.23975,4.29978,
16.3469053,3.5059571,441.7489067,4310.0,0.649613,4.57345,8.9995944
12.9802953,2.4241912,376.2093904,3614.0,0.491323,4.81257,4.7341229
1.3484961,15.8824638,1839.6713042,6346.0,1.14759,4.38484,2706.9606225
3.2541181,14.9476,,6102.0,1.28,4.28649,1436.45
3.7178828,14.6986197,1689.4116185,5818.0,2.0840001,4.33787,1925.1426172
9.30992,14.2968,1067.0,6907.0,3.09,3.63,215.208
1.15395,5.48364,2148.0,6093.0,1.4,4.2,3534.3
4.73703,25.7144,4243.0,11600.0,2.48,4.13,53821.0
2.76676,12.2867389,1209.5741229,5346.0,0.984866,4.48823,505.8840075
2.19296,22.7769,3722.0,7009.8,2.95,3.6,31883.5
1.725841,15.0024,4175.0,7348.0,2.39,3.9,50469.2
1.1923,30.666,3958.0,6534.0,2.04,3.95,40771.2
11.47606,,,,,,
0.5971314,9.08382,1760.0,7710.0,2.28,3.98,1596.43
1.4821386,13.7339261,2962.2418039,7066.0,2.6647301,3.78,18197.1354531
0.9209526,5.7349089,3430.7622437,6553.0,2.8908899,3.65,32740.3629399
9.188506,2.16591,786.0,5876.0,0.98,4.48,63.4589
13.9028391,2.6136848,756.6987586,5876.0,0.983215,4.48,77.4841883
10.1826983,3.0538057,957.1991659,6153.0,1.14582,4.34814,198.394783
6.441006,2.56374,853.0,4867.0,0.8,4.438,87.8902
3.1743504,14.9172256,1320.6518234,5943.0,1.15706,4.42524,718.9096994
20.0731588,4.0506906,736.1368293,6033.0,1.14849,4.37,69.3993155
2.66903,9.36823,1268.0,5803.5,1.56,4.07,429.86
6.63371,2.75375,610.0,4138.1,0.63,4.54,22.9987
2.94308,45.3525,1976.0,4437.0,3.13,,2533.34
341.2811281,4.7531892,846.173434,6058.6,1.39203,4.2,121.1597998
10.8680523,2.90726,594.0,4664.0,0.76,4.55,20.7383
11.1149,14.7645,603.0,5042.0,4.94,,21.9713
4.0782392,13.898174,1617.8267296,6501.0,1.74836,4.08,1619.0081232
7.14386,22.1531,,7860.0,1.91,4.15,
7.04083,8.46404,1505.0,5317.0,0.91,4.49,852.336
2.1061569,13.086872,1308.0417533,5380.0,0.940697,4.4337,691.8428073
2.4545635,11.1276,1899.0,6610.0,1.64,4.15,2162.73
11.4756978,14.1098,512.0,7262.0,2.13,4.0,11.4585
2.78186,4.92567,1680.0,6819.0,2.21,3.92,1323.21
6.4410082,4.59203,471.0,3469.0,0.53,4.71,8.2114
2.4887726,,1344.9531805,8048.0,,4.438,773.3029498
4.45199,15.8858,1571.0,6708.3,1.57,4.2,1013.74
5.0100708,2.3107394,971.6657708,5551.0,0.906282,4.46214,210.6631712
2.2281625,2.56778,1434.0,5731.0,1.02,4.43,702.927
4.13812,,1386.0,4898.4,,,613.964
10.95663,23.9726,1389.0,6456.0,2.07,3.92,619.065
2.4997996,13.8516093,1399.9894384,5650.0,1.13732,4.28867,907.8624196
1.66226,13.3343,2561.0,7301.0,1.64,4.23,7149.89
4.07611,,,,,,
3.6245513,4.3503,,6317.0,1.38,,919.571
1.20928,15.1764,,5159.8,1.27,4.23,
3.5187707,14.0061,1863.0,6690.0,1.49,4.24,2000.01
0.7724825,4.1624907,3996.2877922,8271.0,2.5027299,3.95,60276.5000547
10.6917268,1.79811,710.0,5332.0,0.82,4.56429,42.2657
3.6950015,14.1288,1904.0,7106.7,1.63,4.2,2184.62
